fightWinScore,fightLoseScore,scareWinScore,threatWinScore,threatLoseScore,hawkFraction
35,7,51,-9,27,0.501
-1,73,38,-56,33,0.973
-95,-78,-76,84,84,0.0
27,-43,-10,-50,-46,0.786
82,-43,66,45,-20,0.509
55,65,-61,-81,-67,0.998
-58,69,4,-48,-76,0.994
-30,-42,70,-42,-5,0.703
6,43,60,19,44,0.5
8,15,-26,-46,-28,0.996
88,20,-64,5,10,0.0
47,-52,10,-46,70,0.453
-28,-59,22,-66,47,0.414
-78,-51,40,93,82,0.271
84,-8,88,-9,61,0.5
-58,-100,47,93,70,0.25
53,-86,-61,32,-36,0.0
-59,6,84,22,60,0.457
-54,-55,-14,4,-23,0.0
86,27,-23,-73,-92,0.998
41,-70,1,-25,-42,0.743
74,58,-37,48,-81,0.977
-76,-43,96,59,-70,0.63
26,36,-71,-44,50,0.0
-50,-46,7,62,-22,0.082
48,-1,53,-42,60,0.636
66,71,81,-1,-63,0.995
-53,95,-77,-64,58,0.0
18,71,35,-46,30,0.958
-43,-33,51,-37,-43,0.706
67,76,70,-86,97,0.832
-95,74,-19,28,92,0.0
51,-68,46,34,73,0.449
30,-38,-99,-41,83,0.0
-30,48,91,-96,-68,0.995
-67,88,25,19,72,0.445
6,-75,89,26,-14,0.468
87,-71,-23,-77,-7,0.993
6,6,-33,-65,-69,0.999
34,-33,-31,55,-97,0.0
-6,85,-40,-26,-16,0.996
96,73,-91,37,91,0.0
53,-2,53,80,5,0.5
-22,-55,6,14,-43,0.366
96,62,-30,55,-44,0.681
23,-30,-90,74,-13,0.0
99,16,28,-44,-8,0.997
-73,12,16,1,-76,0.627
-21,-4,48,76,51,0.5
69,-64,-6,-80,-35,0.99
67,-12,19,-86,10,0.994
-19,-68,-86,-19,4,0.0
5,67,2,97,66,0.5
-21,-49,-9,32,78,0.0
51,57,-90,-63,29,0.0
-39,24,-73,22,74,0.0
-96,-27,-92,-34,-44,0.0
-22,-10,-75,47,-46,0.0
33,66,42,-48,59,0.729
-90,96,-81,-14,-82,0.0
60,39,79,-88,-97,0.998
0,-8,-29,-34,24,0.0
39,42,23,53,55,0.5
70,-77,-7,-76,-29,0.936
50,-15,57,76,17,0.5
-52,-47,-28,24,-100,0.047
-63,-59,-64,-77,56,0.0
8,53,35,37,-71,0.978
38,-89,86,91,-91,0.759
53,-45,49,-42,-100,0.998
-5,29,-16,-85,24,0.989
-15,-40,27,-83,-88,0.752
-24,29,87,92,21,0.5
-48,-93,98,-22,-60,0.713
-84,-14,12,-92,-24,0.592
87,92,-89,62,-83,0.945
46,-78,86,-67,39,0.859
-4,1,-41,24,95,0.0
57,85,-39,-62,59,0.886
-8,-85,-25,51,31,0.0
-29,6,4,-53,-74,0.843
-98,-75,-28,-1,95,0.0
-69,-22,-56,-3,27,0.0
-34,80,-47,39,85,0.0
-30,82,11,100,-33,0.509
-95,71,96,-30,22,0.899
-91,-15,-65,-52,96,0.0
21,45,57,-19,96,0.507
-65,-80,-22,88,-51,0.0
-49,84,25,72,94,0.484
86,58,10,-90,9,0.994
-63,-74,83,0,-39,0.618
-13,1,54,53,-50,0.83
-13,77,-91,38,57,0.0
-50,60,-87,-75,-86,0.0
-17,-66,-81,-81,-40,0.0
57,-17,51,-45,-83,0.994
-10,58,-64,-69,-22,0.998
18,4,5,-6,47,0.5
64,-85,34,25,-11,0.411
95,-66,1,7,30,0.32
-53,-28,-31,-58,-96,0.411
44,96,37,45,63,0.5
93,35,24,-18,68,0.508
-48,13,55,41,-10,0.482
44,63,32,-80,-26,0.999
-4,-65,-90,77,-6,0.0
-9,93,-63,-100,-59,0.999
-67,-79,-49,94,34,0.0
-13,-40,18,-81,-21,0.733
-6,4,20,45,53,0.5
56,79,28,8,-39,0.991
33,31,12,56,87,0.5
-32,-58,-69,28,92,0.0
-79,6,35,69,-29,0.365
29,-42,22,12,76,0.475
46,69,-37,-24,65,0.0
-22,34,-15,81,-73,0.0
42,-44,69,90,99,0.492
-6,-71,-98,-92,55,0.0
75,-59,-94,-55,27,0.0
-28,96,-73,-65,50,0.0
30,-71,-97,-67,80,0.0
27,-59,-70,-56,-57,0.0
-30,-98,-84,-23,44,0.0
-89,-80,44,-99,30,0.445
-39,-15,-97,-12,67,0.0
16,-91,11,88,26,0.153
-60,-35,40,25,48,0.331
-53,4,35,-78,27,0.702
100,47,-87,-4,13,0.0
78,-62,-39,11,-56,0.0
-33,85,-24,-33,-35,0.996
44,88,-78,-18,76,0.0
-51,-70,-56,-21,5,0.0
51,-27,-86,50,3,0.0
49,66,-43,-55,32,0.97
60,35,11,45,44,0.5
-85,27,17,53,-3,0.255
30,-80,31,-21,-68,0.752
-91,91,-33,-72,47,0.0
7,-2,-74,81,50,0.0
-78,58,-91,19,71,0.0
11,-42,-44,15,11,0.0
9,-85,-99,45,-51,0.0
9,77,100,-15,8,0.953
-58,8,95,61,-89,0.811
-8,-6,36,90,44,0.5
-79,77,-88,52,-69,0.0
-99,53,83,41,81,0.455
63,27,-91,-74,86,0.0
50,-64,11,81,82,0.323
-98,-55,-7,-4,13,0.0
4,-16,-59,66,79,0.0
-43,6,78,-66,100,0.66
-53,-100,-82,87,-51,0.0
-6,40,-92,-36,-98,0.0
21,-72,-18,-78,65,0.0
-18,-14,46,-54,-92,0.862
82,-58,-25,34,-71,0.971
98,21,-60,67,26,0.0
93,-22,-90,-39,75,0.0
-11,-99,59,55,47,0.354
72,12,62,73,-36,0.558
28,-73,-8,12,38,0.0
-65,0,51,-64,14,0.71
66,75,17,-51,64,0.728
20,42,-5,47,-9,0.5
-48,-96,-51,52,3,0.0
56,-51,-84,-28,-42,0.0
48,69,100,-85,9,0.994
-55,76,25,63,-55,0.764
-66,21,-74,-74,100,0.0
-71,31,100,63,12,0.472
34,-8,-8,-66,13,0.993
80,-24,-72,4,75,0.0
75,-7,60,-99,-58,0.997
-75,-12,-98,-93,10,0.0
-100,88,-15,82,-64,0.0
69,-82,-59,0,-47,0.0
-70,30,82,-24,100,0.481
-72,66,-54,-5,57,0.0
-95,51,-85,83,-9,0.0
-48,-20,80,47,-17,0.469
-65,-61,11,20,35,0.109
77,-76,3,25,98,0.204
44,-6,31,83,82,0.5
-1,-9,96,45,29,0.5
-71,-39,-54,-97,-54,0.0
-19,67,-47,39,-52,0.0
-89,48,-72,-53,4,0.0
-8,45,60,-64,-79,0.997
72,-94,4,-29,-26,0.796
71,12,-42,77,17,0.0
-23,-13,66,-46,0,0.844
43,21,-46,-81,74,0.0
7,-68,-49,98,76,0.0
64,30,-82,-86,-88,0.999
56,4,-14,-37,85,0.541
73,85,-34,72,-84,0.933
89,92,94,62,-98,0.973
26,33,-80,-43,-66,0.997
34,39,-4,80,7,0.5
-59,-31,29,67,88,0.281
20,-3,-2,30,24,0.5
-40,63,98,-52,-77,0.996
8,-73,-24,55,37,0.0
8,-27,-100,29,-85,0.0
28,-69,84,51,35,0.466
-53,-80,-89,54,74,0.0
60,-29,-3,88,71,0.439
36,-73,99,-4,36,0.466
-82,32,-51,-25,-1,0.0
-25,1,51,81,-91,0.826
-41,2,19,79,55,0.379
80,-20,-50,84,38,0.0
70,-93,-52,-96,-83,0.702
42,-22,47,-80,40,0.98
45,22,43,58,-60,0.887
93,-21,0,-65,-7,0.996
11,89,-60,45,-75,0.0
-44,99,-45,-25,-12,0.0
51,13,16,90,-38,0.553
85,-65,-34,-89,-29,0.995
-7,82,-8,25,69,0.498
100,-51,-56,-47,90,0.0
-22,-37,-29,65,57,0.0
28,-6,-79,13,73,0.0
78,-30,44,-50,-13,0.996
9,61,-27,-15,-87,0.996
-67,63,-86,8,-40,0.0
-28,57,-52,26,100,0.0
-1,12,-13,50,-50,0.0
70,88,-74,-74,70,0.0
70,67,-81,-100,-86,0.998
59,-84,-69,-19,21,0.0
56,38,-45,97,83,0.0
-24,-39,-70,-59,-100,0.414
-29,91,65,39,25,0.5
68,-30,-46,-55,79,0.0
-94,89,-97,-19,-20,0.0
-36,19,-40,35,54,0.0
-74,-4,-4,-9,-79,0.49
87,88,41,77,81,0.5
-17,39,-45,-95,-93,0.998
3,39,94,46,73,0.5
35,-71,-78,-50,-94,0.0
68,-63,-45,-53,86,0.0
25,80,50,33,5,0.5
78,-59,55,-22,7,0.981
-25,-52,34,-8,-34,0.609
87,-79,-56,80,51,0.0
-53,-55,38,89,37,0.297
-94,-65,24,-40,-64,0.518
-40,25,77,45,27,0.497
93,-90,22,-13,-19,0.97
-73,-2,22,48,51,0.27
-68,-21,35,-55,1,0.612
-84,37,-88,0,86,0.0
-87,-88,-24,11,-88,0.056
19,63,-15,-99,50,0.981
33,29,68,10,89,0.5
11,-24,-90,27,-17,0.0
34,21,-85,-79,-89,0.996
-87,-16,-61,-74,63,0.0
90,76,-31,-21,24,0.646
28,47,50,45,-33,0.627
48,94,-79,69,-47,0.0
95,97,-100,65,-1,0.0
-25,-63,9,19,-12,0.116
25,64,-29,-42,71,0.502
50,-98,-1,-99,32,0.58
-26,-56,87,-19,88,0.451
85,36,-93,23,44,0.0
15,-82,68,78,-89,0.689
-9,46,10,20,56,0.5
-47,-92,14,-55,-53,0.511
-49,34,-90,5,33,0.0
-84,74,-30,16,-29,0.0
10,8,53,-93,52,0.976
64,-48,-8,-78,-40,0.997
-57,-19,21,-30,78,0.262
-66,20,-100,61,-58,0.0
59,65,36,76,14,0.5
84,-39,-72,58,82,0.0
65,-46,-54,31,75,0.0
11,41,-11,32,-94,0.99
-39,-28,-29,-52,5,0.0
49,-27,99,3,56,0.5
-45,53,-94,44,-14,0.0
-77,-12,-96,-10,41,0.0
-27,86,40,97,-83,0.823
17,-73,37,-59,48,0.604
71,-19,89,-83,-90,0.998
17,28,-64,-94,37,0.0
20,-20,-98,56,-29,0.0
9,-47,54,29,-83,0.805
87,-88,-10,50,-88,0.828
-18,-26,-26,52,10,0.0
40,49,-90,12,74,0.0
-58,-76,37,77,-96,0.413
8,31,63,75,-43,0.591
-91,63,55,12,-82,0.867
-60,32,-100,-7,-93,0.0
64,10,-87,-48,38,0.0
-99,-87,89,-85,39,0.538
95,6,-72,62,42,0.0
87,23,-8,66,-78,0.934
-62,45,77,-39,-9,0.914
-15,-69,41,-81,19,0.648
-56,45,83,81,79,0.479
-86,-20,-38,34,6,0.0
45,51,-18,-84,55,0.964
88,70,8,1,-4,0.903
-79,-68,93,82,76,0.378
0,99,-51,65,-83,0.0
20,63,6,44,56,0.5
84,15,52,-99,88,0.93
-4,-28,-1,38,-62,0.388
92,-12,20,-44,-78,0.997
-49,-36,-53,-72,14,0.0
-72,46,-21,-53,50,0.0
-79,-8,33,-81,-52,0.7
-9,54,-35,-95,16,0.991
82,1,44,-58,21,0.986
89,-69,-95,1,20,0.0
-44,-100,-29,-2,27,0.0
-56,-23,89,48,74,0.46
-81,46,78,64,44,0.461
85,25,-82,-20,47,0.0
61,-85,-53,90,89,0.0
75,52,-76,32,-84,0.987
-87,-39,-62,27,19,0.0
-18,34,34,-68,-78,0.997
-28,54,37,-41,67,0.577
-35,92,73,61,63,0.499
-43,90,95,-85,52,0.97
-51,-8,-75,-41,-31,0.0
-3,76,-18,46,-31,0.548
-39,-80,50,-30,46,0.368
36,2,-34,-55,98,0.0
75,-2,83,-43,-53,0.998
-15,-12,48,-97,-21,0.871
-92,36,-7,-30,34,0.0
66,-82,-19,-76,-53,0.885
-19,24,46,-88,-40,0.997
46,15,19,6,-57,0.993
41,82,-37,-29,-51,0.997
44,76,-51,-90,32,0.988
-99,-91,15,-77,19,0.323
62,-2,-52,-99,63,0.0
-28,86,20,-9,90,0.498
-13,-65,74,51,28,0.445
-59,-72,68,-92,-68,0.648
33,-22,-35,-70,11,0.0
-9,98,-75,88,48,0.0
-34,73,-78,-28,-72,0.0
15,-80,-25,-99,-100,0.642
79,-53,-28,-26,-61,0.998
-35,31,99,-34,12,0.984
58,-77,13,-72,22,0.8
-52,-20,-97,-11,-63,0.0
-35,76,-77,-49,18,0.0
-52,-15,41,33,45,0.42
1,63,68,-44,41,0.88
-10,-63,-43,-73,-63,0.339
-81,84,-35,-43,-86,0.982
-49,-77,18,-15,17,0.182
44,-70,21,-92,-2,0.821
-82,71,23,74,-93,0.829
57,98,-27,-45,-25,0.995
-16,52,-39,66,16,0.0
99,-69,-12,75,-84,0.855
-41,-20,-68,-6,-86,0.0
-42,64,-15,52,13,0.0
43,66,-16,-7,61,0.496
-90,-77,45,32,25,0.23
24,-65,-95,4,-37,0.0
56,-69,66,45,20,0.471
-23,-88,-76,51,74,0.0
26,-92,33,6,-86,0.696
49,-42,-7,93,-45,0.0
-95,-1,-9,6,82,0.0
37,74,-74,32,-54,0.0
-64,-77,-97,84,65,0.0
93,-91,-45,-33,3,0.0
54,-29,84,17,13,0.499
-12,21,-36,88,81,0.0
-97,41,16,-21,61,0.236
-34,76,-98,83,52,0.0
8,20,85,-34,54,0.581
28,-55,14,39,15,0.343
-41,-55,-63,-77,41,0.0
-99,-21,-94,27,-97,0.0
-47,45,-50,41,49,0.0
-61,-9,-84,-98,-84,0.0
-76,100,-51,-11,57,0.0
-98,-96,73,-94,79,0.442
4,-45,94,-92,78,0.831
-51,-67,31,-93,55,0.461
-25,64,-80,-9,56,0.0
-86,-38,77,6,93,0.367
46,50,13,88,-86,0.878
-60,38,-24,-94,28,0.063
22,-31,79,-4,-97,0.951
51,52,-73,27,-53,0.0
-25,5,32,-40,72,0.575
-26,46,-7,56,0,0.0
71,-41,-33,-95,-14,0.996
84,-85,-59,54,-22,0.0
63,-21,80,-15,82,0.501
-32,78,87,-4,8,0.5
-84,-50,-1,-85,-62,0.513
17,36,4,-62,26,0.987
49,-13,31,14,-21,0.941
17,17,9,-90,28,0.992
80,-57,92,85,-9,0.489
-9,27,-27,-3,8,0.0
-89,87,-31,29,-17,0.0
-18,54,24,12,49,0.5
49,65,-68,-63,3,0.993
49,46,80,-33,73,0.543
58,-98,-30,-43,42,0.0
31,-98,51,-45,-32,0.757
-23,44,-56,-17,-95,0.993
43,-92,47,-4,-3,0.674
5,45,46,29,40,0.5
-14,-3,13,32,-83,0.791
5,-58,-1,-57,-7,0.518
-7,-52,77,-86,70,0.725
-52,51,-6,69,75,0.0
43,-15,47,34,52,0.5
-8,88,84,-48,46,0.879
12,-68,86,-79,-44,0.829
6,89,-32,58,15,0.0
-18,-95,4,-62,-75,0.54
-11,-10,60,69,-77,0.868
69,-79,-96,-75,-38,0.0
44,90,-10,70,28,0.5
-83,34,33,16,-62,0.71
20,-66,40,-97,85,0.675
-99,46,3,40,54,0.068
-99,74,36,9,-48,0.824
23,49,-41,-28,74,0.0
-49,-63,9,9,-48,0.349
-21,46,-6,-76,-85,0.997
2,18,-81,-46,-89,0.0
-17,54,-72,-64,-71,1.0
83,99,-74,75,3,0.0
94,4,62,9,-24,0.981
19,-30,-22,81,13,0.0
24,-32,-25,35,64,0.0
74,-94,99,18,72,0.466
91,7,52,-81,80,0.884
8,39,86,61,-35,0.581
-3,-46,27,24,-9,0.394
-37,-63,-47,-16,-48,0.0
-54,-49,71,-45,1,0.635
73,-26,19,97,-37,0.543
85,53,-90,27,-32,0.0
-32,88,53,-57,26,0.982
-11,60,72,83,14,0.5
68,67,-79,-73,-4,0.992
69,-54,62,52,-18,0.487
-2,-46,89,55,35,0.488
5,1,-1,-60,82,0.713
-35,-37,-26,-38,-63,0.399
11,-15,99,-98,-96,0.987
-94,-68,-85,82,64,0.0
90,26,-99,47,-49,0.0
-83,30,-77,46,14,0.0
-9,67,1,62,-91,0.968
-66,-100,98,14,23,0.347
31,66,23,-6,95,0.5
59,24,10,-79,70,0.921
40,-17,91,-52,-24,0.997
-49,-42,-24,-23,-70,0.278
-54,-46,76,-79,-100,0.753
-52,53,47,-9,2,0.947
-53,33,63,63,-47,0.654
3,-42,-9,-46,61,0.0
-64,41,-74,-21,57,0.0
27,-66,66,-28,5,0.783
94,29,59,-77,25,0.988
-61,-73,56,-20,1,0.502
51,-20,45,-24,-45,0.996
67,-65,-38,-37,6,0.0
97,28,89,-28,44,0.575
39,14,19,7,-69,0.995
71,98,-49,88,95,0.0
-22,6,86,87,66,0.5
-94,56,-16,75,-17,0.0
-49,91,17,-82,57,0.959
61,44,8,25,38,0.5
-34,91,99,5,-92,0.994
-34,-28,38,87,-37,0.436
-82,-86,46,62,-25,0.254
-99,-67,52,-33,-94,0.553
32,4,-45,-100,-50,0.996
91,-58,-85,27,-54,0.0
32,-61,-1,-66,95,0.0
-25,96,-63,-85,21,0.0
-62,3,90,85,-23,0.477
-21,-92,28,-73,36,0.442
-75,-83,-48,-21,-14,0.0
-52,-43,-45,-57,-85,0.333
73,-7,20,-9,34,0.5
-88,0,-62,-48,-16,0.0
41,-89,-53,5,-28,0.0
-45,-62,62,-94,39,0.62
-52,36,59,80,79,0.48
-20,-73,11,41,-85,0.372
-29,79,15,47,94,0.498
40,-7,-89,17,13,0.0
59,-31,-47,82,47,0.0
-58,97,-20,34,-59,0.966
-60,95,-25,-91,95,0.0
-77,15,89,19,-68,0.79
-92,-93,-88,-46,22,0.0
45,-72,42,70,9,0.435
34,27,87,58,-91,0.973
10,34,77,-17,0,0.986
28,0,-56,-49,43,0.0
39,8,-58,44,-77,0.0
-45,-99,-51,-39,-100,0.144
50,-11,43,39,-40,0.85
96,-77,-63,68,-85,0.0
17,-70,-57,-44,-71,0.0
-72,-72,-82,77,73,0.0
-75,21,-51,68,-62,0.0
10,-57,57,-8,-8,0.729
-53,-7,94,30,22,0.475
18,32,17,-77,76,0.886
-44,-48,-65,92,61,0.0
51,-87,-70,13,95,0.0
-64,64,68,51,56,0.48
-98,-11,99,-94,36,0.66
-9,22,-47,88,-79,0.0
-91,57,70,100,2,0.435
18,-46,-84,-61,79,0.0
6,-74,-15,94,-31,0.0
16,-79,-83,81,-70,0.0
-31,24,-74,6,23,0.0
-28,3,-90,-24,-42,0.0
36,59,-37,-71,-32,0.998
-25,39,99,26,-76,0.989
-94,-55,25,-16,79,0.16
33,-88,-74,-78,-8,0.0
12,-66,-28,24,-29,0.0
-8,-54,3,21,24,0.061
60,45,20,-59,66,0.82
68,40,4,-23,76,0.51
25,77,-63,-44,-91,0.997
-96,-65,-62,17,-74,0.0
-16,-90,91,-87,-8,0.717
8,72,-30,-67,-88,0.996
94,65,-73,-73,38,0.974
-30,-14,-79,15,77,0.0
92,34,97,29,14,0.5
21,45,-79,45,-48,0.0
-18,58,-48,47,-54,0.0
-74,90,81,62,20,0.474
-46,43,44,-94,-55,0.982
-9,-90,-92,16,-71,0.0
8,-91,-32,68,-22,0.0
-6,45,79,-87,-69,0.997
-33,61,-40,5,89,0.0
80,-7,10,35,-3,0.5
-30,-31,-93,0,-5,0.0
-52,54,-26,-2,-44,0.0
-15,-21,-40,-50,17,0.0
38,-37,61,-2,-47,0.991
86,74,-54,47,24,0.0
-36,-7,-90,4,-4,0.0
76,-7,-69,-41,-2,0.0
-24,-2,-15,90,6,0.0
-95,23,82,44,-76,0.738
-83,-88,47,-53,32,0.406
6,35,-83,-1,-15,0.0
-88,94,49,-15,-49,0.988
98,52,19,85,24,0.5
95,-44,26,-65,47,0.953
-35,33,78,58,-74,0.944
-79,55,-50,5,-65,0.0
10,-73,-19,-54,48,0.0
-31,-78,-40,58,-26,0.0
